UlasanNormal,UlasanStop,UlasanStem
"['responnya', 'sangat', 'cepat', 'pengiriman', 'juga', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']","['responnya', 'cepat', 'pengiriman', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']",responnya sangat cepat kirim juga cepat kondisi barang bagus terima kasih
"['tidak', 'sesuai', 'dengan', 'di', 'deskripsi', 'nama', 'barang', 'beda', 'tetapi', 'okelah', 'sudah', 'tak', 'coba', 'bagus', 'untuk', 'kedepannya', 'tolong', 'sesuaikan', 'dengan', 'iklan', 'nya']","['sesuai', 'deskripsi', 'nama', 'barang', 'beda', 'okelah', 'coba', 'bagus', 'kedepannya', 'tolong', 'sesuaikan', 'iklan', 'nya']",tidak sesuai dengan di deskripsi nama barang beda tetapi oke sudah tak coba bagus untuk depan tolong sesuai dengan iklan nya
"['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'terima kasih']",bagus barang sesuai pesan fungsi dengan baik terima kasih
"['tampilan', 'keren', 'tetapi', 'belum', 'di', 'coba', 'baru', 'di', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'dan', 'tidak', 'ada', 'kendala']","['tampilan', 'keren', 'coba', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'kendala']",tampil keren tetapi belum di coba baru di buka doang moga awet hp nya dan tidak ada kendala
"['terima kasih', 'sudah', 'sampe', 'dengan', 'selamat', 'next', 'order', 'lagi', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'terus', 'ya', 'pngiriman', 'cepat', 'sebelum', 'hari', 'raya', 'punya', 'hp', 'baru', 'hi']","['terima kasih', 'sampe', 'selamat', 'next', 'order', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'ya', 'pngiriman', 'cepat', 'raya', 'hp', 'hi']",terima kasih sudah sampe dengan selamat next order lagi moga awet kurir amanah admin ramah sukses terus ya pngiriman cepat belum hari raya punya hp baru hi
"['barang', 'sesuai', 'dan', 'original', 'diterima', 'dengan', 'aman', 'dan', 'baik', 'kecepatan', 'pengiriman', 'baik', 'terima kasih']","['barang', 'sesuai', 'original', 'diterima', 'aman', 'kecepatan', 'pengiriman', 'terima kasih']",barang sesuai dan original terima dengan aman dan baik cepat kirim baik terima kasih
"['tetapi', 'toko', 'ini', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'juga', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'buat', 'toko', 'dan', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']","['toko', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'toko', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']",tetapi toko ini amanah banget  kirim juga cepat packing aman banget terima kasih buat toko dan expedisi nya 
"['barang', 'tiba', 'dengan', 'cepat', 'dan', 'aman', 'serta', 'dikirimkan', 'dengan', 'cara', 'terbaik', 'semua', 'hadiah', 'terisi', 'dengan', 'baik', 'dan', 'label', 'bekerja', 'dengan', 'baik', 'merekomendasikan', 'membeli', 'dari', 'toko']","['barang', 'cepat', 'aman', 'dikirimkan', 'terbaik', 'hadiah', 'terisi', 'label', 'merekomendasikan', 'membeli', 'toko']",barang tiba dengan cepat dan aman serta kirim dengan cara baik semua hadiah isi dengan baik dan label kerja dengan baik rekomendasi beli dari toko
"['alhamdulillah', 'akhirnya', 'barang', 'sampe', 'juga', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']","['alhamdulillah', 'barang', 'sampe', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']",alhamdulillah akhir barang sampe juga kirim nyaa oke cepet parahhhh isi box nya lengkap mantap lahhh 
"['sesuai', 'pesanan']","['sesuai', 'pesanan']",sesuai pesan
"['responnya', 'sangat', 'cepat', 'pengiriman', 'juga', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']","['responnya', 'cepat', 'pengiriman', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']",responnya sangat cepat kirim juga cepat kondisi barang bagus terima kasih
"['tidak', 'sesuai', 'dengan', 'di', 'deskripsi', 'nama', 'barang', 'beda', 'tetapi', 'okelah', 'sudah', 'tak', 'coba', 'bagus', 'untuk', 'kedepannya', 'tolong', 'sesuaikan', 'dengan', 'iklan', 'nya']","['sesuai', 'deskripsi', 'nama', 'barang', 'beda', 'okelah', 'coba', 'bagus', 'kedepannya', 'tolong', 'sesuaikan', 'iklan', 'nya']",tidak sesuai dengan di deskripsi nama barang beda tetapi oke sudah tak coba bagus untuk depan tolong sesuai dengan iklan nya
"['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'terima kasih']",bagus barang sesuai pesan fungsi dengan baik terima kasih
"['tampilan', 'keren', 'tetapi', 'belum', 'di', 'coba', 'baru', 'di', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'dan', 'tidak', 'ada', 'kendala']","['tampilan', 'keren', 'coba', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'kendala']",tampil keren tetapi belum di coba baru di buka doang moga awet hp nya dan tidak ada kendala
"['terima kasih', 'sudah', 'sampe', 'dengan', 'selamat', 'next', 'order', 'lagi', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'terus', 'ya', 'pngiriman', 'cepat', 'sebelum', 'hari', 'raya', 'punya', 'hp', 'baru', 'hi']","['terima kasih', 'sampe', 'selamat', 'next', 'order', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'ya', 'pngiriman', 'cepat', 'raya', 'hp', 'hi']",terima kasih sudah sampe dengan selamat next order lagi moga awet kurir amanah admin ramah sukses terus ya pngiriman cepat belum hari raya punya hp baru hi
"['barang', 'sesuai', 'dan', 'original', 'diterima', 'dengan', 'aman', 'dan', 'baik', 'kecepatan', 'pengiriman', 'baik', 'terima kasih']","['barang', 'sesuai', 'original', 'diterima', 'aman', 'kecepatan', 'pengiriman', 'terima kasih']",barang sesuai dan original terima dengan aman dan baik cepat kirim baik terima kasih
"['tetapi', 'toko', 'ini', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'juga', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'buat', 'toko', 'dan', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']","['toko', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'toko', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']",tetapi toko ini amanah banget  kirim juga cepat packing aman banget terima kasih buat toko dan expedisi nya 
"['barang', 'tiba', 'dengan', 'cepat', 'dan', 'aman', 'serta', 'dikirimkan', 'dengan', 'cara', 'terbaik', 'semua', 'hadiah', 'terisi', 'dengan', 'baik', 'dan', 'label', 'bekerja', 'dengan', 'baik', 'merekomendasikan', 'membeli', 'dari', 'toko']","['barang', 'cepat', 'aman', 'dikirimkan', 'terbaik', 'hadiah', 'terisi', 'label', 'merekomendasikan', 'membeli', 'toko']",barang tiba dengan cepat dan aman serta kirim dengan cara baik semua hadiah isi dengan baik dan label kerja dengan baik rekomendasi beli dari toko
"['alhamdulillah', 'akhirnya', 'barang', 'sampe', 'juga', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']","['alhamdulillah', 'barang', 'sampe', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']",alhamdulillah akhir barang sampe juga kirim nyaa oke cepet parahhhh isi box nya lengkap mantap lahhh 
"['sesuai', 'pesanan']","['sesuai', 'pesanan']",sesuai pesan
"['responnya', 'sangat', 'cepat', 'pengiriman', 'juga', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']","['responnya', 'cepat', 'pengiriman', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']",responnya sangat cepat kirim juga cepat kondisi barang bagus terima kasih
"['tidak', 'sesuai', 'dengan', 'di', 'deskripsi', 'nama', 'barang', 'beda', 'tetapi', 'okelah', 'sudah', 'tak', 'coba', 'bagus', 'untuk', 'kedepannya', 'tolong', 'sesuaikan', 'dengan', 'iklan', 'nya']","['sesuai', 'deskripsi', 'nama', 'barang', 'beda', 'okelah', 'coba', 'bagus', 'kedepannya', 'tolong', 'sesuaikan', 'iklan', 'nya']",tidak sesuai dengan di deskripsi nama barang beda tetapi oke sudah tak coba bagus untuk depan tolong sesuai dengan iklan nya
"['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'terima kasih']",bagus barang sesuai pesan fungsi dengan baik terima kasih
"['tampilan', 'keren', 'tetapi', 'belum', 'di', 'coba', 'baru', 'di', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'dan', 'tidak', 'ada', 'kendala']","['tampilan', 'keren', 'coba', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'kendala']",tampil keren tetapi belum di coba baru di buka doang moga awet hp nya dan tidak ada kendala
"['terima kasih', 'sudah', 'sampe', 'dengan', 'selamat', 'next', 'order', 'lagi', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'terus', 'ya', 'pngiriman', 'cepat', 'sebelum', 'hari', 'raya', 'punya', 'hp', 'baru', 'hi']","['terima kasih', 'sampe', 'selamat', 'next', 'order', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'ya', 'pngiriman', 'cepat', 'raya', 'hp', 'hi']",terima kasih sudah sampe dengan selamat next order lagi moga awet kurir amanah admin ramah sukses terus ya pngiriman cepat belum hari raya punya hp baru hi
"['barang', 'sesuai', 'dan', 'original', 'diterima', 'dengan', 'aman', 'dan', 'baik', 'kecepatan', 'pengiriman', 'baik', 'terima kasih']","['barang', 'sesuai', 'original', 'diterima', 'aman', 'kecepatan', 'pengiriman', 'terima kasih']",barang sesuai dan original terima dengan aman dan baik cepat kirim baik terima kasih
"['tetapi', 'toko', 'ini', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'juga', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'buat', 'toko', 'dan', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']","['toko', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'toko', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']",tetapi toko ini amanah banget  kirim juga cepat packing aman banget terima kasih buat toko dan expedisi nya 
"['barang', 'tiba', 'dengan', 'cepat', 'dan', 'aman', 'serta', 'dikirimkan', 'dengan', 'cara', 'terbaik', 'semua', 'hadiah', 'terisi', 'dengan', 'baik', 'dan', 'label', 'bekerja', 'dengan', 'baik', 'merekomendasikan', 'membeli', 'dari', 'toko']","['barang', 'cepat', 'aman', 'dikirimkan', 'terbaik', 'hadiah', 'terisi', 'label', 'merekomendasikan', 'membeli', 'toko']",barang tiba dengan cepat dan aman serta kirim dengan cara baik semua hadiah isi dengan baik dan label kerja dengan baik rekomendasi beli dari toko
"['alhamdulillah', 'akhirnya', 'barang', 'sampe', 'juga', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']","['alhamdulillah', 'barang', 'sampe', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']",alhamdulillah akhir barang sampe juga kirim nyaa oke cepet parahhhh isi box nya lengkap mantap lahhh 
"['sesuai', 'pesanan']","['sesuai', 'pesanan']",sesuai pesan
"['responnya', 'sangat', 'cepat', 'pengiriman', 'juga', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']","['responnya', 'cepat', 'pengiriman', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']",responnya sangat cepat kirim juga cepat kondisi barang bagus terima kasih
"['tidak', 'sesuai', 'dengan', 'di', 'deskripsi', 'nama', 'barang', 'beda', 'tetapi', 'okelah', 'sudah', 'tak', 'coba', 'bagus', 'untuk', 'kedepannya', 'tolong', 'sesuaikan', 'dengan', 'iklan', 'nya']","['sesuai', 'deskripsi', 'nama', 'barang', 'beda', 'okelah', 'coba', 'bagus', 'kedepannya', 'tolong', 'sesuaikan', 'iklan', 'nya']",tidak sesuai dengan di deskripsi nama barang beda tetapi oke sudah tak coba bagus untuk depan tolong sesuai dengan iklan nya
"['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'terima kasih']",bagus barang sesuai pesan fungsi dengan baik terima kasih
"['tampilan', 'keren', 'tetapi', 'belum', 'di', 'coba', 'baru', 'di', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'dan', 'tidak', 'ada', 'kendala']","['tampilan', 'keren', 'coba', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'kendala']",tampil keren tetapi belum di coba baru di buka doang moga awet hp nya dan tidak ada kendala
"['terima kasih', 'sudah', 'sampe', 'dengan', 'selamat', 'next', 'order', 'lagi', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'terus', 'ya', 'pngiriman', 'cepat', 'sebelum', 'hari', 'raya', 'punya', 'hp', 'baru', 'hi']","['terima kasih', 'sampe', 'selamat', 'next', 'order', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'ya', 'pngiriman', 'cepat', 'raya', 'hp', 'hi']",terima kasih sudah sampe dengan selamat next order lagi moga awet kurir amanah admin ramah sukses terus ya pngiriman cepat belum hari raya punya hp baru hi
"['barang', 'sesuai', 'dan', 'original', 'diterima', 'dengan', 'aman', 'dan', 'baik', 'kecepatan', 'pengiriman', 'baik', 'terima kasih']","['barang', 'sesuai', 'original', 'diterima', 'aman', 'kecepatan', 'pengiriman', 'terima kasih']",barang sesuai dan original terima dengan aman dan baik cepat kirim baik terima kasih
"['tetapi', 'toko', 'ini', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'juga', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'buat', 'toko', 'dan', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']","['toko', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'toko', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']",tetapi toko ini amanah banget  kirim juga cepat packing aman banget terima kasih buat toko dan expedisi nya 
"['barang', 'tiba', 'dengan', 'cepat', 'dan', 'aman', 'serta', 'dikirimkan', 'dengan', 'cara', 'terbaik', 'semua', 'hadiah', 'terisi', 'dengan', 'baik', 'dan', 'label', 'bekerja', 'dengan', 'baik', 'merekomendasikan', 'membeli', 'dari', 'toko']","['barang', 'cepat', 'aman', 'dikirimkan', 'terbaik', 'hadiah', 'terisi', 'label', 'merekomendasikan', 'membeli', 'toko']",barang tiba dengan cepat dan aman serta kirim dengan cara baik semua hadiah isi dengan baik dan label kerja dengan baik rekomendasi beli dari toko
"['alhamdulillah', 'akhirnya', 'barang', 'sampe', 'juga', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']","['alhamdulillah', 'barang', 'sampe', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']",alhamdulillah akhir barang sampe juga kirim nyaa oke cepet parahhhh isi box nya lengkap mantap lahhh 
"['sesuai', 'pesanan']","['sesuai', 'pesanan']",sesuai pesan
"['responnya', 'sangat', 'cepat', 'pengiriman', 'juga', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']","['responnya', 'cepat', 'pengiriman', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']",responnya sangat cepat kirim juga cepat kondisi barang bagus terima kasih
"['tidak', 'sesuai', 'dengan', 'di', 'deskripsi', 'nama', 'barang', 'beda', 'tetapi', 'okelah', 'sudah', 'tak', 'coba', 'bagus', 'untuk', 'kedepannya', 'tolong', 'sesuaikan', 'dengan', 'iklan', 'nya']","['sesuai', 'deskripsi', 'nama', 'barang', 'beda', 'okelah', 'coba', 'bagus', 'kedepannya', 'tolong', 'sesuaikan', 'iklan', 'nya']",tidak sesuai dengan di deskripsi nama barang beda tetapi oke sudah tak coba bagus untuk depan tolong sesuai dengan iklan nya
"['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'terima kasih']",bagus barang sesuai pesan fungsi dengan baik terima kasih
"['tampilan', 'keren', 'tetapi', 'belum', 'di', 'coba', 'baru', 'di', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'dan', 'tidak', 'ada', 'kendala']","['tampilan', 'keren', 'coba', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'kendala']",tampil keren tetapi belum di coba baru di buka doang moga awet hp nya dan tidak ada kendala
"['terima kasih', 'sudah', 'sampe', 'dengan', 'selamat', 'next', 'order', 'lagi', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'terus', 'ya', 'pngiriman', 'cepat', 'sebelum', 'hari', 'raya', 'punya', 'hp', 'baru', 'hi']","['terima kasih', 'sampe', 'selamat', 'next', 'order', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'ya', 'pngiriman', 'cepat', 'raya', 'hp', 'hi']",terima kasih sudah sampe dengan selamat next order lagi moga awet kurir amanah admin ramah sukses terus ya pngiriman cepat belum hari raya punya hp baru hi
"['barang', 'sesuai', 'dan', 'original', 'diterima', 'dengan', 'aman', 'dan', 'baik', 'kecepatan', 'pengiriman', 'baik', 'terima kasih']","['barang', 'sesuai', 'original', 'diterima', 'aman', 'kecepatan', 'pengiriman', 'terima kasih']",barang sesuai dan original terima dengan aman dan baik cepat kirim baik terima kasih
"['tetapi', 'toko', 'ini', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'juga', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'buat', 'toko', 'dan', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']","['toko', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'toko', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']",tetapi toko ini amanah banget  kirim juga cepat packing aman banget terima kasih buat toko dan expedisi nya 
"['barang', 'tiba', 'dengan', 'cepat', 'dan', 'aman', 'serta', 'dikirimkan', 'dengan', 'cara', 'terbaik', 'semua', 'hadiah', 'terisi', 'dengan', 'baik', 'dan', 'label', 'bekerja', 'dengan', 'baik', 'merekomendasikan', 'membeli', 'dari', 'toko']","['barang', 'cepat', 'aman', 'dikirimkan', 'terbaik', 'hadiah', 'terisi', 'label', 'merekomendasikan', 'membeli', 'toko']",barang tiba dengan cepat dan aman serta kirim dengan cara baik semua hadiah isi dengan baik dan label kerja dengan baik rekomendasi beli dari toko
"['alhamdulillah', 'akhirnya', 'barang', 'sampe', 'juga', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']","['alhamdulillah', 'barang', 'sampe', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']",alhamdulillah akhir barang sampe juga kirim nyaa oke cepet parahhhh isi box nya lengkap mantap lahhh 
"['sesuai', 'pesanan']","['sesuai', 'pesanan']",sesuai pesan
"['responnya', 'sangat', 'cepat', 'pengiriman', 'juga', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']","['responnya', 'cepat', 'pengiriman', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']",responnya sangat cepat kirim juga cepat kondisi barang bagus terima kasih
"['tidak', 'sesuai', 'dengan', 'di', 'deskripsi', 'nama', 'barang', 'beda', 'tetapi', 'okelah', 'sudah', 'tak', 'coba', 'bagus', 'untuk', 'kedepannya', 'tolong', 'sesuaikan', 'dengan', 'iklan', 'nya']","['sesuai', 'deskripsi', 'nama', 'barang', 'beda', 'okelah', 'coba', 'bagus', 'kedepannya', 'tolong', 'sesuaikan', 'iklan', 'nya']",tidak sesuai dengan di deskripsi nama barang beda tetapi oke sudah tak coba bagus untuk depan tolong sesuai dengan iklan nya
"['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'terima kasih']",bagus barang sesuai pesan fungsi dengan baik terima kasih
"['tampilan', 'keren', 'tetapi', 'belum', 'di', 'coba', 'baru', 'di', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'dan', 'tidak', 'ada', 'kendala']","['tampilan', 'keren', 'coba', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'kendala']",tampil keren tetapi belum di coba baru di buka doang moga awet hp nya dan tidak ada kendala
"['terima kasih', 'sudah', 'sampe', 'dengan', 'selamat', 'next', 'order', 'lagi', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'terus', 'ya', 'pngiriman', 'cepat', 'sebelum', 'hari', 'raya', 'punya', 'hp', 'baru', 'hi']","['terima kasih', 'sampe', 'selamat', 'next', 'order', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'ya', 'pngiriman', 'cepat', 'raya', 'hp', 'hi']",terima kasih sudah sampe dengan selamat next order lagi moga awet kurir amanah admin ramah sukses terus ya pngiriman cepat belum hari raya punya hp baru hi
"['barang', 'sesuai', 'dan', 'original', 'diterima', 'dengan', 'aman', 'dan', 'baik', 'kecepatan', 'pengiriman', 'baik', 'terima kasih']","['barang', 'sesuai', 'original', 'diterima', 'aman', 'kecepatan', 'pengiriman', 'terima kasih']",barang sesuai dan original terima dengan aman dan baik cepat kirim baik terima kasih
"['tetapi', 'toko', 'ini', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'juga', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'buat', 'toko', 'dan', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']","['toko', 'amanah', 'banget', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d', 'pengiriman', 'cepat', 'packing', 'aman', 'banget', 'terima kasih', 'toko', 'expedisi', 'nya', 'ð\x9f\x98\x98ð\x9f\x98\x98']",tetapi toko ini amanah banget  kirim juga cepat packing aman banget terima kasih buat toko dan expedisi nya 
"['barang', 'tiba', 'dengan', 'cepat', 'dan', 'aman', 'serta', 'dikirimkan', 'dengan', 'cara', 'terbaik', 'semua', 'hadiah', 'terisi', 'dengan', 'baik', 'dan', 'label', 'bekerja', 'dengan', 'baik', 'merekomendasikan', 'membeli', 'dari', 'toko']","['barang', 'cepat', 'aman', 'dikirimkan', 'terbaik', 'hadiah', 'terisi', 'label', 'merekomendasikan', 'membeli', 'toko']",barang tiba dengan cepat dan aman serta kirim dengan cara baik semua hadiah isi dengan baik dan label kerja dengan baik rekomendasi beli dari toko
"['alhamdulillah', 'akhirnya', 'barang', 'sampe', 'juga', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']","['alhamdulillah', 'barang', 'sampe', 'pengiriman', 'nyaa', 'oke', 'cepet', 'parahhhh', 'isi', 'box', 'nya', 'lengkap', 'mantap', 'lahhh', 'â\x9d¤ï¸\x8f']",alhamdulillah akhir barang sampe juga kirim nyaa oke cepet parahhhh isi box nya lengkap mantap lahhh 
"['sesuai', 'pesanan']","['sesuai', 'pesanan']",sesuai pesan
"['responnya', 'sangat', 'cepat', 'pengiriman', 'juga', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']","['responnya', 'cepat', 'pengiriman', 'cepat', 'kondisi', 'barang', 'bagus', 'terima kasih']",responnya sangat cepat kirim juga cepat kondisi barang bagus terima kasih
"['tidak', 'sesuai', 'dengan', 'di', 'deskripsi', 'nama', 'barang', 'beda', 'tetapi', 'okelah', 'sudah', 'tak', 'coba', 'bagus', 'untuk', 'kedepannya', 'tolong', 'sesuaikan', 'dengan', 'iklan', 'nya']","['sesuai', 'deskripsi', 'nama', 'barang', 'beda', 'okelah', 'coba', 'bagus', 'kedepannya', 'tolong', 'sesuaikan', 'iklan', 'nya']",tidak sesuai dengan di deskripsi nama barang beda tetapi oke sudah tak coba bagus untuk depan tolong sesuai dengan iklan nya
"['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['bagus', 'barang', 'sesuai', 'pesanan', 'berfungsi', 'terima kasih']",bagus barang sesuai pesan fungsi dengan baik terima kasih
"['tampilan', 'keren', 'tetapi', 'belum', 'di', 'coba', 'baru', 'di', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'dan', 'tidak', 'ada', 'kendala']","['tampilan', 'keren', 'coba', 'buka', 'doang', 'semoga', 'awet', 'hp', 'nya', 'kendala']",tampil keren tetapi belum di coba baru di buka doang moga awet hp nya dan tidak ada kendala
"['terima kasih', 'sudah', 'sampe', 'dengan', 'selamat', 'next', 'order', 'lagi', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'terus', 'ya', 'pngiriman', 'cepat', 'sebelum', 'hari', 'raya', 'punya', 'hp', 'baru', 'hi']","['terima kasih', 'sampe', 'selamat', 'next', 'order', 'semoga', 'awet', 'kurir', 'amanah', 'admin', 'ramah', 'sukses', 'ya', 'pngiriman', 'cepat', 'raya', 'hp', 'hi']",terima kasih sudah sampe dengan selamat next order lagi moga awet kurir amanah admin ramah sukses terus ya pngiriman cepat belum hari raya punya hp baru hi
